Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",68,44,5,1,2,,23,4,,,,,,
HEMCHAND YADAV VISHWAVIDYALAYA (Id: U-0831),1,,,,,,,,,,,,,
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",243,73,15,5,4,,16,5,2,,5,,1,
HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY (Id: U-0819),2,,,,,,,,,,,,,
"Hidayatullah National Law University, Raipur (Id: U-0086)",21,11,2,,,,4,,,,2,,1,1
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",0,2,0,1,0,,,1,0,,,,,
"Himachal Pradesh University , Shimla (Id: U-0183)",103,56,10,3,5,3,,1,,1,,,1,
HIMALAYAN GARHWAL UNIVERSITY (Id: U-0912),56,36,1,1,,,4,3,,,4,,1,1
"Himgiri Zee University, Dehradun (Id: U-0559)",38,21,1,,,1,,1,,,,,,1
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",291,171,11,3,1,,182,97,,,2,5,62,51
"Homi Bhabha National Institute, Mumbai (Id: U-0304)",9,,,,,,,,,,,,,
"Homoeopathy University, Jaipur (Id: U-0607)",29,14,,,1,,3,,,,1,,2,1
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",187,89,4,1,,1,27,8,2,,9,5,9,4
ICFAI UNIVERSITY (Id: U-0635),11,8,1,,,,1,,,,,,1,
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),28,34,2,3,,,4,3,,,,,1,2
"IFTM University, Moradabad (Id: U-0515)",213,117,21,6,,1,53,27,,,22,8,4,3
IIHMR UNIVERSITY (Id: U-0851),23,12,1,,,,,,,,1,,2,1
IILM UNIVERSITY (Id: U-0988),10,22,,,,,,1,,,1,1,,1
IIMT University (Id: U-0889),123,84,9,5,,,36,24,,,18,5,,1
"I.I.S. University, Jaipur (Id: U-0394)",41,205,,2,1,,2,7,,,,,1,21
"I K Gujral Punjab Technical University, Jalandhar (Id: U-0382)",32,23,4,3,,,,,,,1,,10,8
IMS UNISON UNIVERSITY (Id: U-0773),33,40,,1,,,,,,,1,,,2
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),315,128,27,8,2,2,40,14,,1,14,1,9,9
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR (Id: U-0584)",122,24,16,4,1,,5,,,,3,,1,
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",30,23,,1,,,2,2,,1,,1,1,3
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",52,9,,1,,,7,,,,1,,1,
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR (Id: U-0953),16,1,1,,,,4,1,1,,,,,
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",39,6,4,2,,,13,2,,,2,,1,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD (Id: U-0803)",18,0,2,0,,,2,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI (Id: U-0795)",27,13,1,,,,,,,,1,1,1,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI (Id: U-0796)",13,6,,,,,1,,,,2,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA (Id: U-0799)",5,2,,,,,,,,,,,0,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM (Id: U-0802)",14,2,,,,,3,1,,,,1,8,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW (Id: U-0801)",16,3,,,,,,,,,,,1,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR (Id: U-0841)",10,7,1,1,,,3,1,,,,1,1,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE (Id: U-0804)",14,4,1,1,,,2,1,,,,1,,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI (Id: U-0840)",8,2,1,1,,,3,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI (Id: U-0770)",12,2,2,,,,3,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT (Id: U-0800)",3,,,,,,,,,,1,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM (Id: U-0754)",5,12,1,2,1,,1,7,,,,,,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT (Id: U-0954),3,,1,,,,,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA (Id: U-0797)",11,13,2,,,,3,1,,,,,1,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA (Id: U-0798)",12,1,1,,,,2,,,,,,2,
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD (Id: U-1016),85,20,,,,,,,,,,,8,2
INDIAN INSTITUTE OF MANAGEMENT AMRITSAR (Id: U-1001),6,4,,,,,,,,,,,,
INDIAN INSTITUTE OF MANAGEMENT BANGALORE (Id: U-1014),87,22,,,,,1,,,,,,2,
INDIAN INSTITUTE OF MANAGEMENT BODH GAYA (Id: U-1006),1,,,,,,,,,,,,,
INDIAN INSTITUTE OF MANAGEMENT INDORE (Id: U-1012),109,17,,,,,,,,,,,1,
INDIAN INSTITUTE OF MANAGEMENT KASHIPUR (Id: U-1009),23,3,,,,,,,,,,,,
"INDIAN INSTITUTE OF MANAGEMENT, KOLKATA (Id: U-1019)",68,19,,,,,,,,,,,1,
INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE (Id: U-1013),61,6,1,,,,2,,,,2,,8,1
INDIAN INSTITUTE OF MANAGEMENT LUCKNOW (Id: U-1008),71,10,,1,,,2,,,,,,2,
"INDIAN INSTITUTE OF MANAGEMENT, NAGPUR (Id: U-1018)",11,4,1,,,,,,,,,,,1
INDIAN INSTITUTE OF MANAGEMENT RAIPUR (Id: U-1017),21,5,,,,,1,,1,,1,,,
INDIAN INSTITUTE OF MANAGEMENT RANCHI (Id: U-1003),25,6,,,,,2,1,,,,,,
INDIAN INSTITUTE OF MANAGEMENT ROHTAK (Id: U-1015),13,12,,,,,1,1,,,,,1,1
INDIAN INSTITUTE OF MANAGEMENT SAMBALPUR (Id: U-1002),4,3,,,,,,,,,,,,
"INDIAN INSTITUTE OF MANAGEMENT, SHILLONG (Id: U-1011)",18,7,2,1,,1,2,,,,,,,1
INDIAN INSTITUTE OF MANAGEMENT SIRMAUR (Id: U-1005),7,2,1,,,,1,,1,,,,1,
INDIAN INSTITUTE OF MANAGEMENT TIRUCHIRAPALLI (Id: U-1000),31,5,,,,,4,1,,,,,4,
INDIAN INSTITUTE OF MANAGEMENT UDAIPUR (Id: U-1010),27,10,,,,,,,,,,1,,
INDIAN INSTITUTE OF MANAGEMENT VISAKHAPATNAM (Id: U-1007),10,4,,,,,1,,,,1,,,
INDIAN INSTITUTE OF PETROLEUM & ENERGY (Id: U-0944),13,3,,,,,2,,,,,,1,
INDIAN INSTITUTE OF PUBLIC HEALTH GANDHINAGAR (Id: U-0963),12,6,,,,,,,,,3,,1,
"Indian Institute of Science, Bangalore (Id: U-0220)",258,28,12,1,5,,4,1,,,,,258,28
"Indian Institute of Science Education & Research (IISER), Berhampur (Id: U-0828)",23,4,1,,,,1,1,,,1,,2,
"Indian Institute of Science Education & Research (IISER), Bhopal (Id: U-0272)",91,16,1,1,1,,3,,,,,,1,
"Indian Institute of Science Education & Research (IISER), Kolkata, (Id: U-0572)",73,13,2,,,,3,,,,2,,1,
"Indian Institute of Science Education & Research (IISER), Mohali (Id: U-0377)",75,13,2,,,,2,,2,,,,9,2
"Indian Institute of Science Education & Research (IISER), Pune, (Id: U-0305)",93,23,,,,,5,,,,1,2,4,
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram (Id: U-0254)",58,7,6,1,,,6,2,1,,,,6,
"Indian Institute of Science Education & Research (IISER), Tirupati (Id: U-0827)",29,7,2,,,,4,,,,,,7,1
"Indian Institute of Space Science and Technology, Thiruvananthapuram (Id: U-0255)",77,19,,,,,12,3,,,1,,10,6
"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR (Id: U-0664)",20,30,,2,,1,1,6,1,,,,,
"INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY), VARANASI (Id: U-0701)",249,41,13,3,2,,14,2,1,,6,,2,
Indian Institute of Technology Bhilai (Id: U-0946),31,3,1,,,,2,,,,2,1,3,
"Indian Institute of Technology, Bhubaneshwar (Id: U-0355)",112,13,3,1,,,10,,,,2,,,
"Indian Institute of Technology, Chennai (Id: U-0456)",519,65,12,,2,,50,5,,,8,3,35,4
"Indian Institute of Technology, Delhi (Id: U-0100)",496,107,11,2,1,,19,4,,,15,3,24,4
"Indian Institute of Technology, Dharwad (Id: U-0899)",20,2,1,,1,,,,1,,1,,3,
"Indian Institute of Technology, Gandhinagar (Id: U-0139)",94,19,,1,,,2,,,,,,6,2
"Indian Institute of Technology, Goa (Id: U-0907)",34,8,2,,,,5,,1,,1,2,5,
"Indian Institute of Technology, Guwahati (Id: U-0053)",371,52,9,1,3,,10,,,,7,,9,3
"Indian Institute of Technology (Indian School of Mines), Dhanbad (Id: U-0205)",276,20,25,3,6,,52,1,2,,8,,6,
"Indian Institute of Technology, Indore (Id: U-0273)",104,15,1,,,,14,,,,7,,4,1
Indian Institute of Technology Jammu (Id: U-0906),36,5,,,,,9,,,,1,,1,
"Indian Institute of Technology, Jodhpur (Id: U-0395)",52,12,2,,,,4,,,,1,,1,
"Indian Institute of Technology, Kharagpur (Id: U-0573)",589,87,4,1,,,15,,2,,5,,8,1
"Indian Institute of Technology, Mandi (Id: U-0184)",85,21,,,,,4,1,1,1,4,1,14,6
"Indian Institute of Technology, Mumbai (Id: U-0306)",360,43,3,,,,6,,,,5,,,
"Indian Institute of Technology, Palakkad (Id: U-0878)",46,19,3,1,,,5,1,,,1,,9,4
"Indian Institute of Technology, Patna (Id: U-0064)",110,11,6,,,,8,2,2,,7,,4,
"Indian Institute of Technology, Roorkee (Id: U-0560)",350,58,10,1,1,1,36,2,1,1,7,1,17,1
"Indian Institute of Technology, Ropar (Id: U-0378)",126,14,3,1,,,13,,,,4,,8,1
"INDIAN INSTITUTE OF TECHNOLOGY, TIRUPATI (Id: U-0844)",63,5,1,1,2,,7,,,,1,,,
"Indian Law Institute, Bhagwandas Road, New Delhi (Id: U-0103)",5,7,,1,1,,,2,,,1,,1,
Indian Maritime University (Id: U-0457),1,,,,,,,,,,,,,
"Indian Statistical Institute, Kolkata (Id: U-0574)",63,7,2,1,,,4,,,,2,,,
"Indian Veterinary Research Institute, Izatnagar (Id: U-0518)",194,20,21,,1,,22,1,1,,3,,3,
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN (Id: U-0685),29,36,3,2,3,,5,7,1,,2,1,,2
"Indira Gandhi Institute of Development Research, Mumbai (Id: U-0307)",17,10,,,,,,,,,,,,
"Indira Gandhi Institute of Medical Sciences, Patna (Id: U-0065)",150,48,14,3,1,1,42,11,1,,13,3,,1
"Indira Gandhi Krishi Vishwavidyalaya, Raipur (Id: U-0087)",56,7,4,1,3,2,12,1,,,,,3,2
Indira Gandhi National Open University (Id: U-0104),108,86,15,7,6,2,12,2,,,5,1,7,8
"Indira Gandhi National Tribal University, Amarkantak (Id: U-0290)",144,27,27,,7,6,40,9,4,,5,,7,6
"INDIRA GANDHI UNIVERSITY, MEERPUR (Id: U-0699)",20,10,6,,,,1,,,,,,,
"Indira Kala Sangit Vishwavidyalaya, Khairagarh (Id: U-0088)",32,8,1,,3,1,1,2,,,,,,
"Indraprastha Institute of Information Technology, Delhi (Id: U-0105)",71,12,,,,,,,,,2,,5,
Indrashil University (Id: U-0922),16,6,,,,,3,1,1,,,,,1
"Indus International University, Bathu, Una (Id: U-0185)",24,10,,,,,1,1,,,,,1,2
INDUS UNIVERSITY (Id: U-0663),115,68,1,1,,,11,,,,,,15,1
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR (Id: U-0771)",22,11,,,,,2,1,,,,,1,
"Institute of Advanced Studies in Education, Churu (Id: U-0396)",60,24,3,,,,21,7,,,,,3,1
"Institute of Chartered Financial Analysts of India University, Meghalaya (Id: U-0343)",14,17,,,8,12,,,,,2,1,6,12
"INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY, SOLAN (Id: U-0695)",9,2,1,,,,1,,,,,,,
"Institute of Chemical Technology, Mumbai (Id: U-0308)",87,38,9,3,2,,4,,,2,2,,2,1
INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM) (Id: U-0765),38,7,,,1,1,5,,,1,2,,1,
"Institute of Liver and Bilary Sciences, New Delhi (Id: U-0106)",42,23,,,,,,,1,,1,1,,1
"Integral University, Lucknow (Id: U-0519)",330,117,5,,,,60,20,,,251,64,3,1
"International Institute for Population Sciences, Mumbai (Id: U-0309)",24,7,4,,3,,7,1,1,,,1,,
INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY (Id: U-0970),20,1,2,,2,,3,,,,2,,,
"International Institute of Information Technology, Bangalore (Id: U-0221)",32,11,,,,,,,,,,,,
"International Institute of Information Technology, Hyderabad (Id: U-0014)",67,19,,,,,,,,,4,1,,
"Invertis University, Bareily (Id: U-0520)",92,32,8,5,,,7,2,,,3,3,2,2
ISBM University (Id: U-0895),15,11,1,2,,,12,6,0,,,,0,
"Islamic University of Science & Technology, Pulwama (Id: U-0194)",131,70,,,,,,,,,126,68,,2
ITM UNIVERSITY (Id: U-0633),36,26,,,,,5,3,,,1,,2,3
"ITM UNIVERSITY, GWALIOR (Id: U-0648)",199,98,14,3,1,1,36,13,,,8,1,7,4
"ITM VOCATIONAL UNIVERSITY, VADODARA (Id: U-0714)",27,41,1,5,,,5,1,,,2,,1,1
"Jadavpur University, Kolkata (Id: U-0575)",438,139,84,18,6,7,29,5,3,,7,1,,
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur (Id: U-0397)",22,3,,,,,,,,,,,,
Jagadguru Rambhadracharya Handicapped University (Id: U-0521),31,12,4,,,,3,1,4,5,,,,
"Jagannath University, Jaipur (Id: U-0398)",76,46,2,1,,6,15,5,,,,,2,2
"JAGAN NATH UNIVERSITY, JHAJJAR (Id: U-0721)",42,60,,,0,,0,3,,,1,,3,2
"JAGRAN LAKECITY UNIVERSITY, BHOPAL (Id: U-0727)",55,50,,,,,2,,,,4,1,3,4
"Jai Narain Vyas University, Jodhpur (Id: U-0399)",214,109,43,11,28,7,25,17,,1,3,1,10,9
"Jain university,Bangalore (Id: U-0223)",365,308,20,11,,,125,115,,,8,11,33,28
"Jain Vishva Bharati Institute, Nagaur (Id: U-0400)",26,25,1,,,,6,3,,1,,,3,8
"Jai Prakash Vishwavidyalaya, Chapra (Id: U-0066)",59,10,3,,,,15,3,,,7,,,
"Jaipur National University, Jaipur (Id: U-0401)",318,163,4,2,6,1,13,9,,,15,5,2,8
Jamia Hamdard (Id: U-0107),202,204,,,,,13,13,1,1,136,103,4,10
Jamia Millia Islamia University (Id: U-0108),465,208,31,13,12,6,25,3,7,,360,114,12,22
"Janardan Rai Nagar Rajasthan Vidyapeeth,  Udaipur (Id: U-0402)",76,45,3,1,,,,,,,3,3,3,
"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry (Id: U-0368)",87,26,2,1,,,26,4,,,1,,,
"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore (Id: U-0224)",34,7,1,,,,5,,,,1,,3,1
"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur (Id: U-0274)",1,,,,,,,,,,,,,
"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",222,136,38,16,9,3,69,55,3,,18,16,12,3
"Jawaharlal Nehru Technological University, Hyderabad (Id: U-0017)",47,24,5,3,2,1,18,11,,,1,,2,1
"Jawaharlal Nehru Technological University, Kakinada (Id: U-0015)",198,110,38,27,10,8,80,39,,,3,2,1,2
Jawahar Lal Nehru University (Id: U-0109),407,185,48,9,21,5,25,8,10,1,30,5,22,15
Jawarharlal Nehru Architecture and Fine Art University Hyderabad (Id: U-0018),60,54,10,5,2,,30,21,,,4,3,3,6
"Jaypee Institute of Information Technology, Noida (Id: U-0522)",156,133,5,2,,,18,4,,,4,1,2,10
"JAYPEE UNIVERSITY, ANOOPSHAHR (Id: U-0792)",30,7,1,1,,,8,,,,3,,1,
"Jaypee University of Engeenering & Technology, Guna (Id: U-0275)",66,9,3,0,,,10,0,,,0,,4,1
"Jaypee University of Information Technology, Waknaghat, Solan (Id: U-0186)",89,22,,,,,2,,,,2,,7,2
JECRC UNIVERSITY (Id: U-0741),145,81,2,,1,,23,6,,,3,1,4,2
JHARKHAND RAI UNIVERSITY (Id: U-0762),44,30,,,,,7,3,,,5,2,,
JHARKHAND RAKSHA SHAKTI UNIVERSITY (Id: U-0860),9,5,,,2,,3,,1,,,,3,1
JIS UNIVERSITY (Id: U-0861),53,44,2,,,,2,,,,1,,,
"Jiwaji University, Gwalior (Id: U-0276)",49,17,2,1,,,2,1,,,,,2,2
JK LAKSHMIPAT UNIVERSITY (Id: U-0657),31,13,2,,,,3,,,,1,,2,1
JSS ACADEMY OF HIGHER EDUCATION & RESEARCH (Id: U-0222),17,22,2,2,,,,2,,,,1,,2
JSS Science and Technology University (Id: U-0931),151,108,16,6,6,2,1,1,1,,,1,1,1
J S University (Id: U-0809),109,49,14,4,,,70,22,,,5,7,,3
Junagadh Agricultural University (Id: U-0140),216,19,10,3,7,,47,2,,,3,,,
"Jyoti Vidyapeeth Women's University, Jaipur (Id: U-0404)",141,174,5,2,,1,16,17,,,2,2,2,3
"Kadi Sarva Vishwavidyalaya, Gandihnagar (Id: U-0141)",280,258,7,10,1,1,20,26,,,4,6,4,4
"Kakatiya University, Warangal (Id: U-0019)",102,46,18,11,8,3,33,15,,,1,2,1,1
"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur (Id: U-0458)",340,137,22,19,,,294,108,2,1,9,3,26,18
"Kalinga Institute of Industrial Technology, Bhubaneswar (Id: U-0356)",687,398,,1,,1,10,2,,,2,2,,3
"KALINGA UNIVERSITY, RAIPUR (Id: U-0711)",104,87,,,1,,3,1,,,1,3,,1
KALOJI NARAYANA RAO UNIVERSITY OF HEALTH SCIENCES (Id: U-0867),1,1,,,,,,,,,,,,
"Kalyani University, Kalyani (Id: U-0576)",146,46,32,5,5,1,11,4,,,7,1,2,2
"KAMDHENU UNIVERSITY, GANDHINAGAR (Id: U-0706)",3,,,,,,1,,,,,,,
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga (Id: U-0067)",43,10,1,,,,7,1,,,,,,
"Kannada University, Hampi, Kamalapura (Id: U-0226)",55,7,16,,7,2,19,1,1,,1,,,
"Kannur University, Kannur (Id: U-0256)",69,106,9,10,,1,35,73,,1,10,12,8,7
"KARNATAKA JANAPADA VISHWAVIDYALAYA, GOTAGODI (Id: U-0659)",29,5,8,1,1,,17,3,1,,2,1,1,
Karnataka Sanskrit University (Id: U-0625),21,3,3,,1,1,5,1,,,,,,
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University (Id: U-0624),9,17,4,2,,,3,4,,,,,,
"Karnataka State Law University, Hubli (Id: U-0227)",14,11,,2,2,,4,2,,,,,,
"Karnataka State Open University, Mysore (Id: U-0228)",54,31,16,6,4,2,28,18,,,1,1,,
Karnataka State Rural Development and Panchayat Raj University (Id: U-0887),13,10,3,,1,1,8,6,,,,,,
"Karnataka State Women University, Bijapur (Id: U-0229)",59,27,18,7,6,1,18,13,,,5,3,2,2
"Karnataka University, Dharwad (Id: U-0230)",196,60,62,8,29,3,52,16,,,7,8,4,
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar (Id: U-0231)",5,,1,,,,,,,,,,,
Karnavati University (Id: U-0914),131,96,5,,,,9,3,,,5,,1,1
"Karpagam Academy of Higher Education, Coimbatore (Id: U-0459)",248,176,14,5,,,196,150,,,7,10,12,10
"Karunya Institute of Technology and Sciences, Coimbatore (Id: U-0460)",262,174,13,6,,,208,150,,,2,,185,125
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon (Id: U-0320)",80,10,8,,5,,6,1,,,2,,6,
"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek (Id: U-0310)",13,7,,1,,,2,2,,,,,1,1
"KAZI NAZRUL UNIVERSITY, ASANSOL (Id: U-0718)",56,16,12,3,1,,14,,,1,7,,,
KAZIRANGA UNIVERSITY (Id: U-0682),83,39,1,,3,1,20,6,,,8,3,2,2
"Kerala Agricultural University, Thrissur (Id: U-0257)",89,162,7,14,2,,41,49,,,16,3,21,41
"Kerala Kalamandalam, Thrissur (Id: U-0258)",44,7,5,,,,6,,,,,,,
"Kerala University of Fisheries & Ocean Studies, Kochi (Id: U-0259)",22,12,,1,,,4,,,,2,1,3,3
KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),3,,,,,,,,,,,,,
"Kerala University, Thiruvananthapuram (Id: U-0260)",124,105,15,16,,1,63,55,,,24,14,24,20
"Kerala Veterinary & Animal Science University, Wayanad (Id: U-0261)",129,131,5,11,1,,49,42,,,18,9,32,38
KHALLIKOTE UNIVERSITY (Id: U-0955),24,7,5,1,3,1,3,1,1,,1,,,1
KHWAJA MOINUDDIN CHISHTI URDU ARABI FARSI UNIVERSITY (Id: U-0547),43,33,2,3,,,15,13,1,,32,15,,1
KING GEORGE MEDICAL UNIVERSITY (Id: U-0523),260,117,50,24,,,68,19,1,,16,2,3,2
K K University (Id: U-0919),56,7,2,,,,14,3,,,3,1,,
"K.L.E. Academy of Higher Education and Research, Belgaum (Id: U-0225)",,3,,,,,,,,,,,,
KLE TECHNOLOGICAL UNIVERSITY (Id: U-0854),220,126,5,2,3,,,,,,5,2,,
"Kolhan University,  West Singhbhum (Id: U-0206)",26,8,1,,3,2,5,,,,,1,4,2
"Koneru Lakshmaiah Education Foundation,Guntur (Id: U-0020)",904,241,75,20,8,1,241,47,,,36,6,36,21
"Kota University, Kota (Id: U-0387)",59,67,1,,3,1,9,4,,,2,,,
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh (Id: U-0142)",36,14,2,1,2,,6,2,,,,1,1,3
KRISHNAGURU ADHYATMIK VISVAVIDYALAYA (Id: U-0980),6,10,,1,,1,3,6,,,,,,
"Krishna Institute of Medical Sciences Deemed University, Karad (Id: U-0311)",,1,,,,,,,,,,,,
"Krishna Kanta Hanidiqui State Open University, Guwahati (Id: U-0054)",15,25,2,,,,2,7,,,,,,
"Krishna University, Machhlipattanam (Id: U-0021)",35,19,3,4,1,1,3,4,,,,,1,
"K.R. MANGALAM UNIVERSITY, GURGAON (Id: U-0700)",47,85,1,5,,,9,6,,,3,1,2,5
KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY (Id: U-0676),25,24,,,4,2,4,2,,,,2,,
"Kumaun University, Nainital (Id: U-0562)",182,96,35,17,,1,13,9,4,1,5,2,2,
"Kurukshetra University, Kurukshetra (Id: U-0164)",195,90,36,13,,,16,4,1,,2,,2,1
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur (Id: U-0089)",19,10,1,,1,,1,1,,,1,2,,
"Kuvempu University, Shankaraghatta, Shimoga (Id: U-0232)",104,19,25,3,16,1,16,3,,,4,1,2,1
"Lakshmibai National Institute of Physical Education, Gwalior (Id: U-0277)",38,9,5,1,1,,13,,,,1,1,3,
"LAKULISH YOGA UNIVERSITY, AHMEDABAD (Id: U-0734)",24,18,,,,,1,1,,,,,,
Lala lajpat Rai University of Veterinary and Animal Sciences (Id: U-0165),123,37,8,2,,,19,1,,,,,6,1
"Lalit Narayan Mithila University, Darbhanga (Id: U-0068)",70,14,,,1,,25,4,,,5,,,
"Lingaya's University, Faridabad (Id: U-0166)",86,104,6,,,,9,11,1,,9,4,,2
"LNM Institute of Information Technology, Jaipur (Id: U-0405)",67,18,2,,,,4,,,,,,1,3
"Lovely Professional University, Jullunder (Id: U-0379)",994,614,37,27,3,2,102,29,4,,52,5,190,177
"Lucknow University, Lucknow (Id: U-0524)",168,91,24,6,,,41,10,1,,22,4,1,
MADHAV UNIVERSITY (Id: U-0698),237,76,17,7,6,3,41,8,2,1,9,1,3,3
"MADHYA PRADESH AYURVIGYAN VISHWAVIDHLAYA, JABALPUR (Id: U-0996)",1,,,,,,,,,,,,,
"Madras University, Chennai (Id: U-0462)",163,64,50,17,1,,98,33,,,7,,5,5
"Madurai Kamraj University, Madurai (Id: U-0463)",169,53,46,9,1,,116,39,5,1,3,,9,5
"Magadh University, Bodh Gaya (Id: U-0069)",29,8,,,,,5,1,1,,3,2,,
MAHAPURUSHA SRIMANTA SANKARADEVA VISWAVIDYALAYA (Id: U-0812),25,20,1,1,2,1,10,5,,,,,,
MAHARAJA AGRASEN UNIVERSITY (Id: U-0671),84,57,1,2,2,1,7,2,,,,0,2,
"MAHARAJA BIR BIKRAM UNIVERSITY, AGARTALA (Id: U-0839)",7,2,,,2,1,,,,,,,2,1
MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY (Id: U-0810),1,,,,,,,,,,,,,
"Maharaja Ganga Singh University, Bikaner (Id: U-0406)",11,7,1,,,,5,1,,,,,1,
Maharaja Krishnakumarsinhji Bhavnagar University (Id: U-0124),42,3,3,1,4,,12,,,,1,,1,
MAHARAJA RANJIT SINGH STATE TECHNICAL UNIVERSITY (Id: U-0811),63,45,8,3,,,1,2,,,,,21,19
"Maharaja Sayajirao University of Baroda, Vadodara (Id: U-0143)",610,496,43,14,43,20,99,42,5,,22,15,26,37
MAHARAJA SURAJMAL BRIJ UNIVERSITY (Id: U-0793),2,,,,,,,,,,,,,
"MAHARAJ VINAYAK GLOBAL UNIVERSITY, JAIPUR (Id: U-0965)",103,64,5,1,5,2,18,9,,,,1,,
"Maharana Pratap University of Agriculture & Technology, Udaipur (Id: U-0407)",68,19,3,,3,,7,1,1,,2,,8,4
"Maharashi Markandeshwar University, Solan (Id: U-0187)",106,61,6,1,1,1,1,,,,7,2,24,12
"Maharashtra Animal & Fishery Sciences University, Nagpur (Id: U-0312)",3,,,,,,1,,,,,,,
"Maharashtra Institute of Technology University, of Meghalaya (Id: U-0605)",4,6,,,1,2,1,,,,1,,1,3
"Maharashtra National Law University, Aurangabad (Id: U-0915)",7,2,1,,,,2,,,,,1,2,1
Maharashtra National Law University Mumbai (Id: U-0886),16,4,4,,,,1,1,,,2,,4,
"Maharashtra National Law University,Nagpur (Id: U-0880)",8,5,,1,,,2,1,,,,,,
"Maharashtra University of Health Sciences, Nashik (Id: U-0313)",2,,,,,,,,,,,,,
MAHARISHI ARVIND UNIVERSITY (Id: U-0842),43,18,1,,1,,18,7,,,1,,,
"Maharishi Dayanand Saraswati University, Ajmer (Id: U-0408)",35,32,1,1,,,10,3,,,1,,,1
"Maharishi  Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur (Id: U-0280)",49,18,1,2,,,8,5,,,,,,1
"Maharishi Markandeshwar University, Mullana-Ambala (Id: U-0168)",367,335,4,3,,1,12,12,,,5,6,29,40
"MAHARISHI MARKANDESHWAR UNIVERSITY, SADOPUR-AMBALA (Id: U-0641)",47,44,2,2,,,3,4,,,1,1,7,3
